info Listening on port 3002 
info 2015-09-07T13:38:47.918Z got req from: http://www.zdf.de
info 2015-09-07T13:38:47.930Z got req from: http://www.zdf.de
info 2015-09-07T13:38:48.129Z got req from: http://www.zdf.de
info 2015-09-07T13:38:48.287Z got req from: http://www.zdf.de
info 2015-09-07T13:38:56.811Z got req from: http://www.zdf.de
info 2015-09-07T13:39:01.215Z got req from: http://www.zdf.de
info 2015-09-07T13:39:07.561Z got req from: http://www.zdf.de
info 2015-09-07T13:39:14.772Z got req from: http://www.zdf.de
info 2015-09-07T13:39:14.773Z got req from: http://www.zdf.de
info 2015-09-07T13:39:16.714Z got req from: http://www.zdf.de
info 2015-09-07T13:39:17.006Z got req from: http://www.zdf.de
info 2015-09-07T13:39:17.495Z got req from: http://www.zdf.de
info 2015-09-07T13:39:33.683Z got req from: http://www.zdf.de
info 2015-09-07T13:40:17.362Z got req from: http://www.zdf.de
info 2015-09-07T13:40:25.446Z got req from: http://www.zdf.de
info 2015-09-07T13:41:02.422Z got req from: http://www.zdf.de
info 2015-09-07T13:41:06.198Z got req from: http://www.zdf.de
info 2015-09-07T13:41:07.216Z got req from: http://www.zdf.de
info 2015-09-07T13:41:10.471Z got req from: http://www.zdf.de
info 2015-09-07T13:41:12.396Z got req from: http://www.zdf.de
info 2015-09-07T13:41:45.099Z got req from: http://www.zdf.de
info 2015-09-07T13:41:57.770Z got req from: http://www.zdf.de
info 2015-09-07T13:41:58.512Z got req from: http://www.zdf.de
info 2015-09-07T13:41:58.574Z got req from: http://www.zdf.de
info 2015-09-07T13:41:59.202Z got req from: http://www.zdf.de
info 2015-09-07T13:41:59.397Z got req from: http://www.zdf.de
info 2015-09-07T13:41:59.602Z got req from: http://www.zdf.de
info 2015-09-07T13:41:59.676Z got req from: http://www.zdf.de
info 2015-09-07T13:42:03.399Z got req from: http://www.zdf.de
info 2015-09-07T13:42:04.031Z got req from: http://www.zdf.de
info 2015-09-07T13:42:12.421Z got req from: http://www.zdf.de
info 2015-09-07T13:42:35.609Z got req from: http://www.zdf.de
info 2015-09-07T13:42:35.648Z got req from: http://www.zdf.de
info 2015-09-07T13:42:35.685Z got req from: http://www.zdf.de
info 2015-09-07T13:42:35.724Z got req from: http://www.zdf.de
info 2015-09-07T13:42:46.778Z got req from: http://www.zdf.de
info 2015-09-07T13:42:46.793Z got req from: http://www.zdf.de
info 2015-09-07T13:42:48.310Z got req from: http://www.zdf.de
info 2015-09-07T13:42:48.527Z got req from: http://www.zdf.de
info 2015-09-07T13:43:03.523Z got req from: http://www.zdf.de
info 2015-09-07T13:43:07.789Z got req from: http://www.zdf.de
info 2015-09-07T13:43:07.791Z got req from: http://www.zdf.de
info 2015-09-07T13:43:08.056Z got req from: http://www.zdf.de
info 2015-09-07T13:43:08.252Z got req from: http://www.zdf.de
info 2015-09-07T13:43:26.170Z got req from: http://www.zdf.de
info 2015-09-07T13:43:31.596Z got req from: http://www.zdf.de
info 2015-09-07T13:43:34.542Z got req from: http://www.zdf.de
info 2015-09-07T13:43:34.562Z got req from: http://www.zdf.de
info 2015-09-07T13:43:34.580Z got req from: http://www.zdf.de
info 2015-09-07T13:43:34.676Z got req from: http://www.zdf.de
info 2015-09-07T13:43:37.415Z got req from: http://www.zdf.de
info 2015-09-07T13:43:37.424Z got req from: http://www.zdf.de
info 2015-09-07T13:43:37.644Z got req from: http://www.zdf.de
info 2015-09-07T13:43:40.873Z got req from: http://www.zdf.de
info 2015-09-07T13:43:41.448Z got req from: http://www.zdf.de
info 2015-09-07T13:43:43.587Z got req from: http://www.zdf.de
info 2015-09-07T13:43:48.596Z got req from: http://www.zdf.de
info 2015-09-07T13:43:50.032Z got req from: http://www.zdf.de
info 2015-09-07T13:43:51.167Z got req from: http://www.zdf.de
info 2015-09-07T13:43:54.582Z got req from: http://www.zdf.de
info 2015-09-07T13:43:56.689Z got req from: http://www.zdf.de
info 2015-09-07T13:43:56.692Z got req from: http://www.zdf.de
info 2015-09-07T13:44:00.067Z got req from: http://www.zdf.de
info 2015-09-07T13:44:00.256Z got req from: http://www.zdf.de
info 2015-09-07T13:44:00.879Z got req from: http://www.zdf.de
info 2015-09-07T13:44:08.860Z got req from: http://www.zdf.de
info 2015-09-07T13:44:08.863Z got req from: http://www.zdf.de
info 2015-09-07T13:44:09.401Z got req from: http://www.zdf.de
info 2015-09-07T13:44:09.576Z got req from: http://www.zdf.de
info 2015-09-07T13:44:43.450Z got req from: http://www.zdf.de
info 2015-09-07T13:44:43.451Z got req from: http://www.zdf.de
info 2015-09-07T13:44:43.864Z got req from: http://www.zdf.de
info 2015-09-07T13:44:44.059Z got req from: http://www.zdf.de
